,Unnamed: 0,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
6,6,300.0,660,485.0,1.15,0.0,1.0,1.0,1.0,0.9202710992204196,0.5047908051841903,0.7653883756795554,0.5787809191575001,0.5143327476059307
7,7,300.0,670,485.0,1.15,0.0,1.0,1.0,1.0,0.938897211927711,0.4919432720115402,0.8197538611091174,0.5602085495202166,0.5043499030550922
8,8,300.0,680,485.0,1.15,0.0,1.0,1.0,1.0,0.9765043420038596,0.5007516472024294,0.8713617341642902,0.5611197741695383,0.5044693442857735
9,9,300.0,690,485.0,1.15,0.0,1.0,1.0,1.0,0.9925150442214248,0.4944117623815983,0.8961977353868165,0.5450387717162589,0.5243046593126448
10,10,300.0,700,485.0,1.15,0.0,1.0,1.0,1.0,0.970062017955238,0.504498909345964,0.8141545553010529,0.5790146740595606,0.5088596904165069
0,0,290.0,600,565.0,0.85,0.0,1.0,1.0,1.0,0.8510889709777872,0.4878368980648014,0.689237304577097,0.6296976780802079,0.5296808989304
1,1,290.0,610,565.0,0.85,0.0,1.0,1.0,1.0,0.8783310570670345,0.513319180573333,0.6286220352839885,0.6048079489902299,0.5172937042427026
2,2,290.0,620,565.0,0.85,0.0,1.0,1.0,1.0,0.8473553813899237,0.4942893430502585,0.6829184095057932,0.5575119951365615,0.5124205111367643
3,3,290.0,630,565.0,0.85,0.0,1.0,1.0,1.0,0.8851197245392676,0.5011144867817242,0.723845337058739,0.5603149049046581,0.5107208353877549
4,4,290.0,640,565.0,0.85,0.0,1.0,1.0,1.0,0.9355409990488652,0.4976032769934363,0.709960702859868,0.553826236665181,0.5076145015763455
5,5,290.0,650,565.0,0.85,0.0,1.0,1.0,1.0,0.8953195207877732,0.4830208193704778,0.720038414237336,0.5379593972198169,0.5153277670704585
6,6,290.0,660,565.0,0.85,0.0,1.0,1.0,1.0,0.9384749287076016,0.5010555065821957,0.7494072467028274,0.5638934477553104,0.5039402147287714
7,7,290.0,670,565.0,0.85,0.0,1.0,1.0,1.0,0.9283951128275174,0.505918610553669,0.806006486133813,0.5856288700113783,0.4830869674721533
8,8,290.0,680,565.0,0.85,0.0,1.0,1.0,1.0,0.907957448483152,0.5054931800920321,0.7425533903252,0.5426455142297482,0.50046423627758
9,9,290.0,690,565.0,0.85,0.0,1.0,1.0,1.0,0.915923002004956,0.5087065957701143,0.7610078653408726,0.5381705876129299,0.4941214120437552
10,10,290.0,700,565.0,0.85,0.0,1.0,1.0,1.0,0.9314007674657608,0.500381667276401,0.7314763543220345,0.5507230571433798,0.4901670163902413
0,0,304.0,600,535.0,0.95,0.0,1.0,1.0,1.0,0.7812283522464898,0.5013906207429043,0.5537183822310572,0.6060916089210531,0.4912580855460405
1,1,304.0,610,535.0,0.95,0.0,1.0,1.0,1.0,0.7951353879576495,0.4788903085373366,0.6304786374615741,0.5342311045374046,0.5098439112658939
2,2,304.0,620,535.0,0.95,0.0,1.0,1.0,1.0,0.8674142094858428,0.5034506020979121,0.75042576244987,0.561744713433061,0.5201005832427636
3,3,304.0,630,535.0,0.95,0.0,1.0,1.0,1.0,0.903097019651462,0.5132738458820736,0.7802810859178256,0.5904607909181141,0.5012262433426149
